                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5478,                 1.5711,                   1.39,                0.85546,                0.80969,                0.86502,                0.51605,                 1.4076,                 0.7419,                 1.2909,              0.0032971,              0.0032971,              0.0032971
                      2,                 1.3533,                0.77066,                 1.1811,                0.90789,                0.83412,                0.91325,                0.55682,                 1.3666,                0.73386,                 1.1967,              0.0066042,              0.0066042,              0.0066042
                      3,                 1.3738,                0.78249,                 1.1645,                0.87689,                0.76588,                0.85778,                0.50351,                 1.4341,                0.93631,                  1.254,              0.0098849,              0.0098849,              0.0098849
                      4,                  1.402,                0.82686,                 1.2083,                 0.7847,                0.75592,                0.77593,                0.44465,                 1.5111,                0.96059,                 1.3563,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.3756,                0.81476,                 1.2058,                0.84902,                0.78578,                0.84864,                0.51283,                 1.4091,                 1.0045,                 1.2676,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.3685,                0.79012,                 1.1899,                0.82888,                0.77424,                0.83321,                0.50212,                 1.4237,                 1.0146,                 1.3146,               0.009802,               0.009802,               0.009802
                      7,                 1.3516,                0.76766,                 1.2007,                0.87722,                 0.7451,                0.83629,                0.47979,                  1.449,                0.81686,                 1.2895,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.3302,                0.75105,                 1.2072,                0.87299,                0.79142,                0.87123,                0.52549,                 1.3804,                0.79592,                 1.2745,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.3128,                0.73218,                 1.1793,                0.89794,                0.83137,                0.90337,                0.54398,                 1.4022,                0.70988,                 1.2653,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.3185,                0.73309,                 1.1757,                0.88909,                0.81718,                0.88879,                0.54659,                 1.3599,                0.74343,                 1.2483,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.2991,                0.70094,                 1.1723,                0.89682,                0.82921,                0.88922,                0.55293,                 1.3463,                0.72107,                 1.2585,               0.009604,               0.009604,               0.009604
                     12,                 1.2758,                0.68599,                 1.1642,                 0.8777,                0.84012,                0.89638,                0.54921,                 1.3813,                0.69712,                  1.281,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.2894,                0.69374,                 1.1842,                0.89735,                0.84623,                0.90764,                 0.5676,                 1.3468,                0.66557,                 1.2738,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.2795,                0.67888,                 1.1727,                0.88054,                 0.8538,                0.90506,                0.57518,                 1.3114,                 0.6759,                 1.2271,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.2693,                0.66273,                 1.1628,                0.90227,                0.85696,                 0.9187,                0.58906,                 1.3159,                0.62783,                 1.2416,              0.0094456,              0.0094456,              0.0094456
                     16,                 1.2602,                0.66288,                 1.1656,                  0.904,                0.84873,                0.92095,                0.58339,                 1.3084,                0.64189,                 1.2412,               0.009406,               0.009406,               0.009406
                     17,                 1.2437,                 0.6505,                 1.1616,                0.89735,                0.84985,                0.90737,                0.56225,                 1.3372,                0.64001,                 1.2548,              0.0093664,              0.0093664,              0.0093664
                     18,                 1.2401,                0.64226,                 1.1626,                0.90805,                0.85672,                0.91743,                0.58545,                 1.2969,                0.62561,                 1.2279,              0.0093268,              0.0093268,              0.0093268
                     19,                 1.2351,                0.62949,                  1.152,                0.89468,                0.84072,                0.90665,                0.58322,                 1.2993,                0.63714,                 1.2233,              0.0092872,              0.0092872,              0.0092872
